"","X","Y","siteID"
"1",1407245.11042559,1151614.01249705,"S001"
"2",1405121.64056936,1150158.87815772,"S002"
"3",1404380.55922818,1148302.73462347,"S003"
"4",1404088.78961876,1146576.30531984,"S004"
"5",1403474.92026937,1145109.04415705,"S005"
"6",1402804.11783394,1143391.48421157,"S006"
"7",1407872.99153369,1149458.46737105,"S007"
"8",1405211.67237354,1148999.342053,"S008"
"9",1406287.01194154,1146397.18251475,"S009"
"10",1403931.8251445,1144606.72009375,"S010"
"11",1405015.30392258,1149635.31218273,"S011"
