Species,S001,S002,S003,S004,S005,S006,S007,S008,S009,S010,S011
Anguilla japonica,0,109,327,394,1021,598,0,0,7627,2483,23
Carassius spp.,0,5310,16985,15852,11190,21675,0,31074,12581,40854,4081
Cyprinus carpio,8171,35089,26727,13246,17286,7301,2919,21059,94274,51702,15750
Hemibarbus spp.,0,340,2538,4580,6590,5924,0,0,4701,7216,557
Nipponocypris temminckii,0,0,0,19,0,57,0,0,0,40,0
Pseudogobio esocinus,0,0,37,121,325,55,0,0,415,311,10
Pseudorasbora parva,0,27,197,433,85,174,862,1310,153,0,14
Pungtungia herzi,0,0,0,20,0,0,0,0,0,0,0
Rhynchocypris lagowskii steindach- neri,0,0,13,46,38,13,0,0,532,0,26
Squalidus chankaensis tsuchigae,0,0,0,36,0,0,0,0,0,0,0
Tribolodon brandtii maruta,0,14,43,170,530,886,0,0,3072,4289,11
Tribolodon hakonensis,0,143,720,788,891,1220,0,1315,11766,6007,368
Opsariichthys platypus,0,0,188,64,0,28,0,141,3723,782,0
Cobitis spp.,0,0,0,13,0,0,0,0,0,62,0
Misgurnus anguillicaudatus,15518,5225,1149,1137,1107,686,12319,21051,1215,943,4073
Paramisgurnus dabryanus,0,1474,54,148,542,63,0,0,0,0,1389
Silurus asotus,1632,351,839,473,355,330,0,2888,1034,392,476
Plecoglossus altivelis,15,0,31,10,17,23,0,0,765,31,14
Mugil cephalus,0,123,674,912,1333,4429,0,1720,5584,15125,310
Oryzias latipes,1155,11,174,327,106,63,46,2079,4567,654,24
Gambusia affinis,0,0,0,78,24,0,0,0,0,91,0
Cottus pollux,0,0,0,0,67,0,0,0,452,0,0
Lateolabrax japonicus,0,0,102,326,415,821,0,0,94,2036,0
Lateolabrax latus,0,0,0,0,0,262,0,0,0,0,0
Micropterus salmoides,0,0,0,0,0,0,0,0,0,0,69
Eleotris fusca,0,0,0,0,0,28,0,0,0,0,0
Eleotris oxycephala,0,0,0,1628,17474,5757,0,0,2014,46519,0
Gymnogobius petschiliensis,936,0,0,0,0,0,0,8248,13985,860,1058
Gymnogobius urotaenia,0,0,0,17,171,0,0,0,0,601,0
Rhinogobius giurinus,0,0,0,373,497,480,0,0,0,1527,27
Rhinogobius spp.,0,0,35,70,19,425,0,0,2522,0,54
Lefua echigonia,0,0,0,0,0,0,0,0,0,0,0
Tridentiger spp.,0,29,76,125,2877,328,0,0,2536,424,22
Channa argus,0,42,167,4411,1421,211,0,0,0,479,0
